variable,comparison,cohens_d,effect_size_interpretation,confidence_interval_lower,confidence_interval_upper
wiek,effect_sizes,NA,,NA,NA
wiek,variable,NA,,NA,NA
hsCRP,effect_sizes,NA,,NA,NA
hsCRP,variable,NA,,NA,NA
ERY,effect_sizes,NA,,NA,NA
ERY,variable,NA,,NA,NA
PLT,effect_sizes,NA,,NA,NA
PLT,variable,NA,,NA,NA
HGB,effect_sizes,NA,,NA,NA
HGB,variable,NA,,NA,NA
HCT,effect_sizes,NA,,NA,NA
HCT,variable,NA,,NA,NA
MCHC,effect_sizes,NA,,NA,NA
MCHC,variable,NA,,NA,NA
MON,effect_sizes,NA,,NA,NA
MON,variable,NA,,NA,NA
LEU,effect_sizes,NA,,NA,NA
LEU,variable,NA,,NA,NA
