variable_pair,group,correlation_method,correlation_coefficient,p_value,significant,confidence_interval_lower,confidence_interval_upper
wiek vs hsCRP,Overall,spearman,NA,NA,FALSE,NA,NA
wiek vs ERY,Overall,pearson,NA,NA,FALSE,NA,NA
wiek vs PLT,Overall,pearson,NA,NA,FALSE,NA,NA
wiek vs HGB,Overall,pearson,NA,NA,FALSE,NA,NA
wiek vs HCT,Overall,pearson,NA,NA,FALSE,NA,NA
wiek vs MCHC,Overall,pearson,NA,NA,FALSE,NA,NA
wiek vs MON,Overall,pearson,NA,NA,FALSE,NA,NA
wiek vs LEU,Overall,pearson,NA,NA,FALSE,NA,NA
hsCRP vs ERY,Overall,spearman,NA,NA,FALSE,NA,NA
hsCRP vs PLT,Overall,spearman,NA,NA,FALSE,NA,NA
hsCRP vs HGB,Overall,pearson,NA,NA,FALSE,NA,NA
hsCRP vs HCT,Overall,spearman,NA,NA,FALSE,NA,NA
hsCRP vs MCHC,Overall,spearman,NA,NA,FALSE,NA,NA
hsCRP vs MON,Overall,pearson,NA,NA,FALSE,NA,NA
hsCRP vs LEU,Overall,spearman,NA,NA,FALSE,NA,NA
ERY vs PLT,Overall,pearson,NA,NA,FALSE,NA,NA
ERY vs HGB,Overall,pearson,NA,NA,FALSE,NA,NA
ERY vs HCT,Overall,pearson,NA,NA,FALSE,NA,NA
ERY vs MCHC,Overall,pearson,NA,NA,FALSE,NA,NA
ERY vs MON,Overall,pearson,NA,NA,FALSE,NA,NA
ERY vs LEU,Overall,pearson,NA,NA,FALSE,NA,NA
PLT vs HGB,Overall,pearson,NA,NA,FALSE,NA,NA
PLT vs HCT,Overall,pearson,NA,NA,FALSE,NA,NA
PLT vs MCHC,Overall,pearson,NA,NA,FALSE,NA,NA
PLT vs MON,Overall,pearson,NA,NA,FALSE,NA,NA
PLT vs LEU,Overall,pearson,NA,NA,FALSE,NA,NA
HGB vs HCT,Overall,pearson,NA,NA,FALSE,NA,NA
HGB vs MCHC,Overall,pearson,NA,NA,FALSE,NA,NA
HGB vs MON,Overall,pearson,NA,NA,FALSE,NA,NA
HGB vs LEU,Overall,pearson,NA,NA,FALSE,NA,NA
HCT vs MCHC,Overall,pearson,NA,NA,FALSE,NA,NA
HCT vs MON,Overall,pearson,NA,NA,FALSE,NA,NA
HCT vs LEU,Overall,pearson,NA,NA,FALSE,NA,NA
MCHC vs MON,Overall,pearson,NA,NA,FALSE,NA,NA
MCHC vs LEU,Overall,pearson,NA,NA,FALSE,NA,NA
MON vs LEU,Overall,pearson,NA,NA,FALSE,NA,NA
wiek vs hsCRP,CHOR1,spearman,NA,NA,FALSE,NA,NA
wiek vs ERY,CHOR1,pearson,NA,NA,FALSE,NA,NA
wiek vs PLT,CHOR1,pearson,NA,NA,FALSE,NA,NA
wiek vs HGB,CHOR1,pearson,NA,NA,FALSE,NA,NA
wiek vs HCT,CHOR1,pearson,NA,NA,FALSE,NA,NA
wiek vs MCHC,CHOR1,pearson,NA,NA,FALSE,NA,NA
wiek vs MON,CHOR1,spearman,NA,NA,FALSE,NA,NA
wiek vs LEU,CHOR1,pearson,NA,NA,FALSE,NA,NA
hsCRP vs ERY,CHOR1,spearman,NA,NA,FALSE,NA,NA
hsCRP vs PLT,CHOR1,spearman,NA,NA,FALSE,NA,NA
hsCRP vs HGB,CHOR1,spearman,NA,NA,FALSE,NA,NA
hsCRP vs HCT,CHOR1,spearman,NA,NA,FALSE,NA,NA
hsCRP vs MCHC,CHOR1,spearman,NA,NA,FALSE,NA,NA
hsCRP vs MON,CHOR1,spearman,NA,NA,FALSE,NA,NA
hsCRP vs LEU,CHOR1,spearman,NA,NA,FALSE,NA,NA
ERY vs PLT,CHOR1,pearson,NA,NA,FALSE,NA,NA
ERY vs HGB,CHOR1,pearson,NA,NA,FALSE,NA,NA
ERY vs HCT,CHOR1,pearson,NA,NA,FALSE,NA,NA
ERY vs MCHC,CHOR1,pearson,NA,NA,FALSE,NA,NA
ERY vs MON,CHOR1,spearman,NA,NA,FALSE,NA,NA
ERY vs LEU,CHOR1,pearson,NA,NA,FALSE,NA,NA
PLT vs HGB,CHOR1,pearson,NA,NA,FALSE,NA,NA
PLT vs HCT,CHOR1,pearson,NA,NA,FALSE,NA,NA
PLT vs MCHC,CHOR1,pearson,NA,NA,FALSE,NA,NA
PLT vs MON,CHOR1,spearman,NA,NA,FALSE,NA,NA
PLT vs LEU,CHOR1,pearson,NA,NA,FALSE,NA,NA
HGB vs HCT,CHOR1,pearson,NA,NA,FALSE,NA,NA
